Dataset,# Samples,# Features,Anomaly Ratio,iForest Precision,iForest AUC,iForest Accuracy,iForest Recall,iForest F1 Score,iForest Fit Time,iForest Score Time,AutoEncoder Precision,AutoEncoder AUC,AutoEncoder Accuracy,AutoEncoder Recall,AutoEncoder F1 Score,AutoEncoder Fit Time,AutoEncoder Score Time,LUNAR Precision,LUNAR AUC,LUNAR Accuracy,LUNAR Recall,LUNAR F1 Score,LUNAR Fit Time,LUNAR Score Time
fault,1941,27,34.672849046883044,0.4815,0.6933,0.6364,0.6436,0.5508,0.0945,0.004,0.4414,0.5807,0.6089,0.4851,0.4623,4.5276,0.0739,0.6224,0.8103,0.7358,0.604,0.6131,3.7967,0.0205
glass,214,7,4.205607476635514,0.0,0.7527,0.9231,0.0,0.0,0.1025,0.001,0.0,0.7581,0.9077,0.0,0.0,2.8452,0.058,0.0,0.8118,0.8923,0.0,0.0,1.7724,0.001
Hepatitis,80,19,16.25,0.0,0.85,0.8333,0.0,0.0,0.0784,0.002,0.4,0.7625,0.7917,0.5,0.4444,3.6008,0.0576,0.0,0.7,0.7917,0.0,0.0,1.5849,0.0062
InternetAds,1966,1555,18.71820956256358,0.23,0.512,0.722,0.2091,0.219,0.1215,0.0045,0.3632,0.7459,0.7203,0.6636,0.4695,23.5302,0.1247,0.6458,0.8222,0.861,0.5636,0.6019,4.6549,0.0515
Ionosphere,351,32,35.8974358974359,0.5645,0.8862,0.717,0.9211,0.7,0.1126,0.002,0.5522,0.9033,0.7075,0.9737,0.7048,3.0276,0.0614,0.6552,0.9834,0.8113,1.0,0.7917,1.5153,0.0071
landsat,6435,36,20.714840714840715,0.3263,0.5947,0.7074,0.3875,0.3543,0.156,0.009,0.2175,0.4117,0.6691,0.23,0.2236,7.5646,0.1201,0.5312,0.7902,0.8058,0.5325,0.5318,11.4915,0.0244
letter,1600,32,6.25,0.0682,0.6228,0.8583,0.1,0.0811,0.1237,0.003,0.0333,0.4433,0.8792,0.0333,0.0333,4.0131,0.0723,0.5556,0.9334,0.9417,0.3333,0.4167,4.1365,0.004
magic,19020,10,35.16298633017876,0.5162,0.762,0.6646,0.7298,0.6047,0.1902,0.021,0.486,0.6955,0.6362,0.6077,0.5401,12.8929,0.2277,0.6811,0.8589,0.7878,0.7453,0.7117,28.2592,0.3528
mammography,11183,6,2.3249575248144505,0.2843,0.8774,0.9636,0.3718,0.3222,0.1504,0.013,0.2523,0.8596,0.961,0.3462,0.2919,11.1621,0.1704,0.4028,0.8728,0.9726,0.3718,0.3867,32.4583,0.1239
mnist,7603,100,9.20689201630935,0.3742,0.8709,0.8746,0.5381,0.4414,0.2438,0.016,0.4343,0.9107,0.8865,0.7714,0.5557,12.9826,0.1771,0.6182,0.9279,0.9307,0.6476,0.6326,23.2555,0.056
musk,3062,166,3.1678641410842587,0.2326,0.9344,0.9434,0.3448,0.2778,0.1785,0.0075,0.4754,1.0,0.9652,1.0,0.6444,8.7037,0.129,0.6591,1.0,0.9837,1.0,0.7945,10.6332,0.019
optdigits,5216,64,2.875766871165644,0.05,0.7777,0.9482,0.0444,0.0471,0.1795,0.01,0.0,0.5792,0.9399,0.0,0.0,9.2728,0.1404,0.6667,0.9973,0.9853,0.9778,0.7928,17.1565,0.0281
PageBlocks,5393,10,9.456703133691823,0.4142,0.9227,0.877,0.7255,0.5273,0.1755,0.0132,0.4848,0.9452,0.9005,0.8366,0.6139,9.584,0.1756,0.7032,0.9485,0.9444,0.7124,0.7078,16.6376,0.041
pendigits,6870,16,2.2707423580786026,0.2892,0.9495,0.9602,0.5106,0.3692,0.2074,0.0155,0.3607,0.9482,0.9689,0.4681,0.4074,8.6701,0.1258,0.8246,0.9998,0.9951,1.0,0.9038,16.0862,0.025
Pima,768,8,34.89583333333333,0.4167,0.6279,0.5628,0.6173,0.4975,0.1129,0.002,0.5319,0.6819,0.6753,0.6173,0.5714,3.263,0.0641,0.4105,0.7611,0.5022,0.963,0.5756,2.2677,0.002
satimage-2,5803,36,1.22350508357746,0.5,0.9973,0.9879,0.9524,0.6557,0.1255,0.008,0.4615,0.9837,0.9862,0.8571,0.6,8.627,0.1332,0.4545,0.9988,0.9856,0.9524,0.6154,19.0327,0.0258
SpamBase,4207,57,39.909674352270024,0.5847,0.8198,0.6975,0.8353,0.6879,0.1478,0.0075,0.5691,0.7924,0.6833,0.8492,0.6815,6.6798,0.1334,0.6708,0.8193,0.753,0.748,0.7073,9.2823,0.014
speech,3686,400,1.6549104720564298,0.0,0.4001,0.972,0.0,0.0,0.172,0.0104,0.05,0.443,0.9675,0.0556,0.0526,12.3529,0.1363,0.0339,0.5649,0.934,0.1111,0.0519,12.7193,0.0439
Wilt,4819,5,5.333056650757419,0.0308,0.5122,0.9046,0.026,0.0282,0.1665,0.009,0.0,0.37,0.8907,0.0,0.0,9.3345,0.1527,0.0392,0.6365,0.9142,0.026,0.0312,15.5379,0.025
Cardiotocography,2114,21,22.043519394512774,0.4563,0.809,0.7512,0.6714,0.5434,0.1652,0.005,0.508,0.8538,0.7843,0.6786,0.581,5.6059,0.1227,0.6379,0.8205,0.8299,0.5286,0.5781,6.6837,0.006
